,comment_text,comment_date,comment_time
0,明天高开是大概率了，大家说说是会高开高走还是高开低走？,09-03 21:06,09-03
0,对量化心太软，隔靴搔痒,09-03 21:10,09-03
0,东财明天应该涨10个点以上,09-03 21:11,09-03
0,一个北交所一个量化控制，明天券商会怎么走,09-03 21:19,09-03
0,看看28的融券数据就知道了，量化狗还狡辩？,09-03 21:20,09-03
0,从此是坦途，加仓！,09-03 21:22,09-03
0,取消融券,09-03 21:29,09-03
0,相信政策底，把握赚钱机会,09-03 21:31,09-03
0,千万别低估了这类潜在利好的推力。之前有报道，证监会之前与商业银行、保险业界以及社保基金，就银行理财资金、保险资金、社保基金入市做了探讨。预计限制以上资金入市的条条框框，会逐渐有节奏剔除。（银行储蓄124万亿，保险资金7万亿，社保基金4万亿）千万别忽视了，引流这些资金的推力。,09-03 21:33,09-03
0,周末科创板的利好没来，北交所倒来了，发布重大改革19条。最重要的降低门槛了，只要开通科创板的就能参与北交所！现在科创板有近1000万投资者开户，北交所只有557万，理论上能增加400多万新韭菜。北交所现在一天才10亿成交量，可是说是惨淡。北交所很多公司急吼吼的想套现，却没有散户接盘的；这次证监会送来大礼，这肯定是好消息！但A股池子的水就这么多，现在要分流到北交所，对其它场子就是利空了。尤其是科创板...,09-03 21:41,09-03
0,一个月过去了，大家终于还是找到病根了……哈哈哈,09-03 21:43,09-03
0,8月28日，融券余额暴增4.5亿，这下都懂了吧？？,09-03 21:46,09-03
0,明天手扶好了，不要抱有幻想。,09-03 21:52,09-03
0,万事具备只欠秋风！,09-03 21:52,09-03
0,市场需要量化；量化是市场发展趋势；不管怎么不喜欢它；未来就是未来。规范是最好的解决方法。大家都满意，利益平衡。靴子落地，利好券商。,09-03 21:57,09-03
0,不被量化交易割韭菜的办法并非没有，即长期持有优质股票，贵州茅台上怎么见不到量化交易?因为持股者都是大资金，偏离估值人家真的把货全都给你，往下打压，根本没有止损盘，全是抄底的，这样的操作正是量化交易的克星,09-03 22:01,09-03
0,东财从8月28日融券量暴涨三倍，这几天一直处在高位，现在的融券量处于2023年的最高位区域，股价却不在全年高位，说明什么：量化太疯狂了，股价能涨吗？,09-03 22:02,09-03
0,北交所充分认识到，经过两年的建设发展，市场已从平稳开市逐步迈向规模、功能双提升的关键时期，站上了高质量发展的新起点。《意见》的发布有助于北交所进一步提升市场活跃度、强化市场功能、改善投资预期、营造良性生态，加快形成以高质量发展为核心的市场品牌、比较优势和特色优势，夯实打造服务创新型中小企业主阵地基础，是今后一段时期北交所市场建设发展的重要指导性文件。,09-03 22:05,09-03
0,会算数吧？还有继续的那；北交所陆续新上市的；还有科创板是不是按照北交所的改革方案去制定新规？全面融资融券不远了。融资融券业务要大增。,09-03 22:05,09-03
0,东财融券居高不下跌了这么多还有7个亿融券,09-03 22:08,09-03
0,量化只是放大了规则的不公平。散户不能做空，不能t0.,09-03 22:19,09-03
0,中国电建,09-03 22:22,09-03
0,“其实”如果负责任的话明天应该大幅回购，真这样的话东财明天应该不至于大跌。,09-03 22:39,09-03
0,量化被干了，券商收益，特别是头部，收入会不会影响比较大呀？,09-03 22:49,09-03
